method,sample_id,split,dataset,budget,dense_correct,dense_reliant,eligible_interventions,answer_fidelity,intervention_pass,intervention_answer_fidelity,legacy_flip_safe,reference_safe,combined_gold_safe,safety_pattern_64_128_256_432,minimum_observed_safe_budget,monotonic
fastv,mmstar_000011,prospective,mmstar,64,False,True,blur|irrelevant,False,False,False,False,False,,0001,432,True
fastv,mmstar_000011,prospective,mmstar,128,False,True,blur|irrelevant,False,False,False,False,False,,0001,432,True
fastv,mmstar_000011,prospective,mmstar,256,False,True,blur|irrelevant,True,False,False,False,False,,0001,432,True
fastv,mmstar_000011,prospective,mmstar,432,False,True,blur|irrelevant,True,True,True,True,True,,0001,432,True
fastv,mmstar_000012,prospective,mmstar,64,False,True,gray|blur,True,True,True,True,True,,1111,64,True
fastv,mmstar_000012,prospective,mmstar,128,False,True,gray|blur,True,True,True,True,True,,1111,64,True
fastv,mmstar_000012,prospective,mmstar,256,False,True,gray|blur,True,True,True,True,True,,1111,64,True
fastv,mmstar_000012,prospective,mmstar,432,False,True,gray|blur,True,True,True,True,True,,1111,64,True
fastv,mmstar_000028,prospective,mmstar,64,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000028,prospective,mmstar,128,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000028,prospective,mmstar,256,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000028,prospective,mmstar,432,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000031,prospective,mmstar,64,True,True,irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000031,prospective,mmstar,128,True,True,irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000031,prospective,mmstar,256,True,True,irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000031,prospective,mmstar,432,True,True,irrelevant,True,True,True,True,True,True,1111,64,True
fastv,mmstar_000037,prospective,mmstar,64,True,False,,False,True,True,False,False,,0011,256,True
fastv,mmstar_000037,prospective,mmstar,128,True,False,,False,True,True,False,False,,0011,256,True
fastv,mmstar_000037,prospective,mmstar,256,True,False,,True,True,True,True,True,,0011,256,True
fastv,mmstar_000037,prospective,mmstar,432,True,False,,True,True,True,True,True,,0011,256,True
fastv,mmstar_000043,prospective,mmstar,64,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000043,prospective,mmstar,128,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000043,prospective,mmstar,256,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000043,prospective,mmstar,432,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000049,prospective,mmstar,64,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000049,prospective,mmstar,128,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000049,prospective,mmstar,256,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000049,prospective,mmstar,432,True,False,,True,True,True,True,True,,1111,64,True
fastv,mmstar_000054,prospective,mmstar,64,False,True,irrelevant,True,True,True,True,True,,1111,64,True
fastv,mmstar_000054,prospective,mmstar,128,False,True,irrelevant,True,True,True,True,True,,1111,64,True
fastv,mmstar_000054,prospective,mmstar,256,False,True,irrelevant,True,True,True,True,True,,1111,64,True
fastv,mmstar_000054,prospective,mmstar,432,False,True,irrelevant,True,True,True,True,True,,1111,64,True
