sample_id,fold,question_word_count,question_character_count,option_count,multiple_choice,dataset=mmstar,dataset=pope_adversarial,dataset=pope_popular,dataset=pope_random,dataset=visual_counterfact_color,dataset=visual_counterfact_size,keyword=color,keyword=size,keyword=count,keyword=existence,keyword=spatial,keyword=text,keyword=emotion
mmstar_000009,2,0.32,0.31666666666666665,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
mmstar_000013,2,0.3,0.2633333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
mmstar_000016,4,0.32,0.3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
mmstar_000018,2,0.32,0.29,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
mmstar_000019,2,1.16,1.0366666666666666,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mmstar_000021,4,0.36,0.32666666666666666,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mmstar_000022,3,0.68,0.5866666666666667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
mmstar_000023,3,0.34,0.3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
mmstar_000034,2,0.34,0.2833333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mmstar_000035,2,0.34,0.29,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mmstar_000040,4,0.5,0.45,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mmstar_000042,3,0.38,0.3566666666666667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
mmstar_000047,4,0.36,0.32,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mmstar_000051,4,0.32,0.37333333333333335,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mmstar_000053,4,0.34,0.35,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
