cell,model,method,configuration,feature_groups,feature_count,budget,auroc,brier,log_loss
7b_fastv,7b,fastv,A0_full,question_structure+task_source+semantic_keywords,17,64,0.46513043318288855,0.3029134837260367,0.8799280752797084
7b_fastv,7b,fastv,A0_full,question_structure+task_source+semantic_keywords,17,128,0.5532598534835785,0.1882076581848539,0.5854426211511172
7b_fastv,7b,fastv,A0_full,question_structure+task_source+semantic_keywords,17,256,0.5559137541297166,0.10177181438292027,0.3669386015200242
7b_fastv,7b,fastv,A0_full,question_structure+task_source+semantic_keywords,17,432,0.4376009954107685,0.04324149328125683,0.1876996843553638
7b_fastv,7b,fastv,A1_structure_only,question_structure,4,64,0.2585238422291994,0.2872789075738481,0.7892005315296569
7b_fastv,7b,fastv,A1_structure_only,question_structure,4,128,0.2590164703857692,0.21812192122966068,0.6620675711567999
7b_fastv,7b,fastv,A1_structure_only,question_structure,4,256,0.29595896365849417,0.10842236929644876,0.39484216739182476
7b_fastv,7b,fastv,A1_structure_only,question_structure,4,432,0.2941794324865878,0.044522564703891286,0.20149331461462366
7b_fastv,7b,fastv,A2_task_only,task_source,6,64,0.480154471644427,0.2915339617859789,0.8349882532982463
7b_fastv,7b,fastv,A2_task_only,task_source,6,128,0.5385827880361871,0.18479220447527236,0.5673773412352604
7b_fastv,7b,fastv,A2_task_only,task_source,6,256,0.5456129368805425,0.1010077167740337,0.3585281688745286
7b_fastv,7b,fastv,A2_task_only,task_source,6,432,0.5651218408635511,0.04315833103470905,0.186365791675698
7b_fastv,7b,fastv,A3_keywords_only,semantic_keywords,7,64,0.4215177958202512,0.2879237114742154,0.7779113906487413
7b_fastv,7b,fastv,A3_keywords_only,semantic_keywords,7,128,0.31644183345001975,0.2153719033642266,0.6402930417929759
7b_fastv,7b,fastv,A3_keywords_only,semantic_keywords,7,256,0.33219961745783344,0.10556770859783607,0.38147038599890276
7b_fastv,7b,fastv,A3_keywords_only,semantic_keywords,7,432,0.3733517548962575,0.04381362931077839,0.19336307889105242
7b_fastv,7b,fastv,A4_full_minus_task,question_structure+semantic_keywords,11,64,0.293114391189168,0.3474945954129148,0.9327716491420749
7b_fastv,7b,fastv,A4_full_minus_task,question_structure+semantic_keywords,11,128,0.27290345795964344,0.24787284681203042,0.7343547270427359
7b_fastv,7b,fastv,A4_full_minus_task,question_structure+semantic_keywords,11,256,0.30305685967657797,0.10958046179648373,0.40489442992511326
7b_fastv,7b,fastv,A4_full_minus_task,question_structure+semantic_keywords,11,432,0.32876834076659556,0.044307615849429736,0.19937235421130567
7b_fastv,7b,fastv,A5_full_minus_keywords,question_structure+task_source,10,64,0.49651534291601257,0.2942142491734262,0.8468834704413944
7b_fastv,7b,fastv,A5_full_minus_keywords,question_structure+task_source,10,128,0.550799660501191,0.185568102931455,0.5716753706067842
7b_fastv,7b,fastv,A5_full_minus_keywords,question_structure+task_source,10,256,0.5487636932707355,0.10139503551046952,0.3616805801427226
7b_fastv,7b,fastv,A5_full_minus_keywords,question_structure+task_source,10,432,0.4337954883330101,0.04323758443373944,0.18813863100578845
7b_fastv,7b,fastv,A6_intercept_only,intercept_only,0,64,0.26523560145211933,0.2589377570955842,0.7211525584479541
7b_fastv,7b,fastv,A6_intercept_only,intercept_only,0,128,0.2538731416547047,0.1988929740699138,0.604794779984822
7b_fastv,7b,fastv,A6_intercept_only,intercept_only,0,256,0.29735350373848024,0.10436948222643706,0.37541813334639595
7b_fastv,7b,fastv,A6_intercept_only,intercept_only,0,432,0.2726552905435977,0.043919553599129385,0.19473445322275074
7b_scope,7b,scope,A0_full,question_structure+task_source+semantic_keywords,17,64,0.6139639508473589,0.19802745133194027,0.5983334375499556
7b_scope,7b,scope,A0_full,question_structure+task_source+semantic_keywords,17,128,0.6241545747856243,0.16297845156114,0.5129236963323084
7b_scope,7b,scope,A0_full,question_structure+task_source+semantic_keywords,17,256,0.5299931661849387,0.1346912514403907,0.456814204301902
