cell,budget,question_structure_mean_absolute_standardized_coefficient,task_source_mean_absolute_standardized_coefficient,semantic_keywords_mean_absolute_standardized_coefficient,largest_group
7b_fastv,64,0.05179726903105961,0.28590806139288716,0.0705146093772386,task_source
7b_fastv,128,0.06271234491742063,0.2515953297832548,0.08254921017885494,task_source
7b_fastv,256,0.043328962985595604,0.17536171774609158,0.08408564035723388,task_source
7b_fastv,432,0.05138753772115132,0.13849776730199273,0.08039124060358814,task_source
7b_scope,64,0.059373893305216245,0.27092650882735686,0.05229575353975401,task_source
7b_scope,128,0.0568805323321764,0.24201336977944768,0.05395309504084742,task_source
7b_scope,256,0.06993647840312332,0.2457977695345256,0.10430937893025048,task_source
7b_scope,432,0.03500864175558103,0.1920411034553412,0.07286177020436423,task_source
7b_random,64,0.05332438728687074,0.21522518538166277,0.09438496025716088,task_source
7b_random,128,0.08084544106790194,0.2211910905149206,0.0554718665301811,task_source
7b_random,256,0.05404610993009277,0.21108870391222045,0.08364248735088874,task_source
7b_random,432,0.030475932187649744,0.113222220583979,0.08475739728433107,task_source
13b_fastv,64,0.08143571746669397,0.22058222388731008,0.07459119931999082,task_source
13b_fastv,128,0.08711712616759994,0.1606076771693475,0.045626696963956846,task_source
13b_fastv,256,0.09528590647754756,0.17314411397896037,0.06127380635766034,task_source
13b_fastv,432,0.03896986958009317,0.12085849504050912,0.07352463973303938,task_source
13b_scope,64,0.06630963752330536,0.2320994470607393,0.06587047897424209,task_source
13b_scope,128,0.079272117576635,0.23285949720160126,0.07579977619125895,task_source
13b_scope,256,0.08876118440471328,0.21978095288551405,0.06587540713154864,task_source
13b_scope,432,0.08559798460202389,0.19880781277122148,0.09221124535748208,task_source
13b_random,64,0.08231163272287098,0.16732800135956502,0.07442086149308857,task_source
13b_random,128,0.047634330205049466,0.15131635030131188,0.06400879313016421,task_source
13b_random,256,0.08288389111188378,0.20229919648444247,0.05848300040804166,task_source
13b_random,432,0.06528632065450217,0.15585440666174172,0.1218456634960923,task_source
