cell,comparison,reference_configuration,comparison_configuration,dense_avoidance_change_percentage_points,unsafe_acceptance_change_percentage_points,wilson_upper_change_percentage_points,mean_token_change
7b_fastv,remove_task,A0_full,A4_full_minus_task,-32.083333333333336,-0.4166666666666666,-0.4637297927858483,72.33333333333331
7b_fastv,task_only_vs_intercept,A6_intercept_only,A2_task_only,16.416666666666668,0.2500000000000002,0.27787762989684994,-81.42666666666662
7b_fastv,remove_keywords,A0_full,A5_full_minus_keywords,-0.5000000000000004,0.0,0.0,-17.05333333333334
7b_fastv,keywords_only_vs_intercept,A6_intercept_only,A3_keywords_only,31.666666666666664,0.16666666666666635,0.1853668198862464,-52.70666666666665
7b_fastv,structure_only_vs_intercept,A6_intercept_only,A1_structure_only,15.749999999999996,0.2500000000000002,0.27787762989684994,-23.4133333333333
7b_scope,remove_task,A0_full,A4_full_minus_task,-18.333333333333336,-0.16666666666666669,-0.21896043106213442,25.519999999999982
7b_scope,task_only_vs_intercept,A6_intercept_only,A2_task_only,27.333333333333332,0.9166666666666666,1.2674333654089331,-78.66666666666669
7b_scope,remove_keywords,A0_full,A5_full_minus_keywords,7.33333333333333,0.08333333333333334,0.10684044753074655,-9.973333333333358
7b_scope,keywords_only_vs_intercept,A6_intercept_only,A3_keywords_only,10.833333333333334,1.4166666666666665,1.8720677630533373,-20.693333333333385
7b_scope,structure_only_vs_intercept,A6_intercept_only,A1_structure_only,0.0,0.0,0.0,0.0
7b_random,remove_task,A0_full,A4_full_minus_task,-29.75,0.0,0.0,77.88
7b_random,task_only_vs_intercept,A6_intercept_only,A2_task_only,49.83333333333333,1.6666666666666667,1.8876545499934612,-125.18666666666667
7b_random,remove_keywords,A0_full,A5_full_minus_keywords,-5.41666666666667,0.0,0.0,-11.666666666666686
7b_random,keywords_only_vs_intercept,A6_intercept_only,A3_keywords_only,25.416666666666664,1.7499999999999998,1.9803966958408328,-40.74666666666667
7b_random,structure_only_vs_intercept,A6_intercept_only,A1_structure_only,17.0,0.5833333333333333,0.6692203959155392,-24.480000000000018
13b_fastv,remove_task,A0_full,A4_full_minus_task,7.08333333333333,-0.6666666666666661,-0.7445162462108273,33.879999999999995
13b_fastv,task_only_vs_intercept,A6_intercept_only,A2_task_only,-22.666666666666668,1.1666666666666663,1.3090829111071491,-35.56
13b_fastv,remove_keywords,A0_full,A5_full_minus_keywords,-13.749999999999996,0.08333333333333387,0.09251081001060354,12.653333333333308
13b_fastv,keywords_only_vs_intercept,A6_intercept_only,A3_keywords_only,-1.0000000000000009,1.25,1.4015937211177527,-30.600000000000023
13b_fastv,structure_only_vs_intercept,A6_intercept_only,A1_structure_only,0.0,0.0,0.0,-0.5866666666666447
13b_scope,remove_task,A0_full,A4_full_minus_task,-29.499999999999993,-0.08333333333333387,-0.09251081001060354,66.53333333333336
13b_scope,task_only_vs_intercept,A6_intercept_only,A2_task_only,33.166666666666664,-0.8333333333333335,-0.9575210374482803,-116.36000000000001
13b_scope,remove_keywords,A0_full,A5_full_minus_keywords,-0.4166666666666652,-0.16666666666666705,-0.18513548404947844,-5.199999999999989
13b_scope,keywords_only_vs_intercept,A6_intercept_only,A3_keywords_only,5.916666666666667,-0.7500000000000003,-0.8605766876400581,-38.546666666666624
13b_scope,structure_only_vs_intercept,A6_intercept_only,A1_structure_only,-0.16666666666666774,0.0,0.0,0.2400000000000091
13b_random,remove_task,A0_full,A4_full_minus_task,-24.0,-0.5000000000000004,-0.5568481003748349,77.03999999999996
13b_random,task_only_vs_intercept,A6_intercept_only,A2_task_only,33.08333333333333,0.16666666666666705,0.18513548404947844,-96.47999999999996
13b_random,remove_keywords,A0_full,A5_full_minus_keywords,-2.5833333333333375,-0.08333333333333387,-0.09251081001060354,-0.9600000000000364
13b_random,keywords_only_vs_intercept,A6_intercept_only,A3_keywords_only,11.41666666666667,-0.33333333333333337,-0.37171261632535646,-19.293333333333294
13b_random,structure_only_vs_intercept,A6_intercept_only,A1_structure_only,0.9166666666666656,-1.3333333333333333,-1.501221409590011,-1.3199999999999363
