model,method,sample_id,dataset,selected_budget,task_correct,unsafe_acceptance,supported_correct,gpu_energy_joule,latency_ms
7b,fastv,mmstar_000011,mmstar,dense,False,False,False,20.558292597532276,101.59212164580822
7b,fastv,mmstar_000012,mmstar,dense,False,False,False,22.95869495034218,99.10669177770615
7b,fastv,mmstar_000028,mmstar,dense,True,False,False,63.554998122453696,236.67760379612446
7b,fastv,mmstar_000031,mmstar,dense,True,False,True,28.08474695682526,94.71225179731846
7b,fastv,mmstar_000037,mmstar,dense,True,False,False,33.33462489843369,97.2567331045866
7b,fastv,mmstar_000043,mmstar,dense,True,False,False,74.39287815332412,208.20150338113308
7b,fastv,mmstar_000049,mmstar,432,True,False,False,63.80748295068741,176.80490016937256
7b,fastv,mmstar_000054,mmstar,dense,False,False,False,59.5408802139759,168.6253286898136
7b,fastv,mmstar_000068,mmstar,dense,True,False,True,33.44777311921119,95.67124955356121
7b,fastv,mmstar_000089,mmstar,dense,True,False,False,60.25475304007531,170.59642262756824
7b,fastv,mmstar_000091,mmstar,dense,True,False,False,41.67632768034936,118.13662573695183
7b,fastv,mmstar_000092,mmstar,dense,True,False,False,32.438517600297935,92.11409464478493
7b,fastv,mmstar_000094,mmstar,dense,True,False,True,35.11883293867111,101.01605020463467
7b,fastv,mmstar_000103,mmstar,dense,True,False,True,33.09232448577881,95.53738124668598
7b,fastv,mmstar_000105,mmstar,dense,False,False,False,32.40441615343094,90.77325463294983
7b,fastv,mmstar_000113,mmstar,432,False,False,False,35.54095494747162,98.81246276199818
7b,fastv,mmstar_000124,mmstar,dense,False,False,False,46.850089719295504,124.85570274293423
7b,fastv,mmstar_000131,mmstar,dense,True,False,True,35.78854526042939,94.56588141620159
7b,fastv,mmstar_000139,mmstar,dense,True,False,True,36.06556326031685,95.07130458950996
7b,fastv,mmstar_000154,mmstar,432,False,False,False,35.54110407233238,93.6642549932003
7b,fastv,mmstar_000155,mmstar,dense,True,False,True,35.594222495555876,93.6626736074686
7b,fastv,mmstar_000157,mmstar,432,False,False,False,35.484563335180276,93.34606118500233
7b,fastv,mmstar_000160,mmstar,dense,True,False,True,37.36980180263519,96.6770239174366
7b,fastv,mmstar_000163,mmstar,dense,True,False,True,35.39401707172394,91.53912775218487
7b,fastv,mmstar_000166,mmstar,432,True,False,False,36.90655981421471,95.47585994005203
