model,method,budget,n,unconditional_accuracy,strict_reference_safe_rate_dense_reliant,dense_reliant_n,supported_correct_rate_full,mean_call_window_gpu_energy_joule,mean_latency_ms,supported_correct_answers_per_kwh
7b,fastv,64,900,0.5133333333333333,0.48258706467661694,603,0.28444444444444444,37.27441175736101,124.56048832999335,27471.929179345905
7b,fastv,128,900,0.5677777777777778,0.6401326699834162,603,0.3655555555555556,37.84480899834735,129.0904310014513,34773.593389187634
7b,fastv,256,900,0.62,0.8126036484245439,603,0.44666666666666666,37.81995872196997,125.18125613530476,42517.23307846705
7b,fastv,432,900,0.6266666666666667,0.9286898839137645,603,0.4866666666666667,36.587008695482325,121.53651555379231,47885.84971737066
7b,scope,64,900,0.6044444444444445,0.6672185430463576,604,0.3877777777777778,21.739490942371187,99.02039978239272,64214.93510131541
7b,scope,128,900,0.62,0.7185430463576159,604,0.41444444444444445,22.809969868375195,100.6026103761461,65409.99434061412
7b,scope,256,900,0.6366666666666667,0.793046357615894,604,0.4388888888888889,29.66005329806584,125.71388244628906,53270.30211719253
7b,scope,432,900,0.6411111111111111,0.8791390728476821,604,0.4766666666666667,35.885378003487766,147.79152207904392,47818.91944493991
7b,random,64,900,0.5788888888888889,0.49917081260364843,603,0.2966666666666667,33.664492138011425,127.95396169026692,31724.821382173603
7b,random,128,900,0.6122222222222222,0.6616915422885572,603,0.3877777777777778,33.269732735291235,120.22773106892903,41960.06054834272
7b,random,256,900,0.6222222222222222,0.8059701492537313,603,0.4488888888888889,31.898270700916537,120.18239445156522,50661.05354587662
7b,random,432,900,0.6311111111111111,0.8905472636815921,603,0.47444444444444445,32.58072750604462,116.22628291447957,52423.62988006082
13b,fastv,64,900,0.6233333333333333,0.5531587057010786,649,0.35555555555555557,66.86396473122728,177.10845761828952,19143.345823796255
13b,fastv,128,900,0.6855555555555556,0.7503852080123267,649,0.47555555555555556,68.27203304274161,176.54471609327527,25076.153788011627
13b,fastv,256,900,0.7177777777777777,0.8690292758089369,649,0.5388888888888889,68.6297805460974,177.5155348247952,28267.611881651534
13b,fastv,432,900,0.7322222222222222,0.9599383667180277,649,0.5844444444444444,68.60729484395371,176.95845789379544,30667.29281172676
13b,scope,64,900,0.6966666666666667,0.6676970633693973,647,0.43222222222222223,34.86263497006271,135.2205663257175,44632.31196770326
13b,scope,128,900,0.7055555555555556,0.723338485316847,647,0.46111111111111114,39.58963445150292,150.51296790440878,41930.16740362912
13b,scope,256,900,0.7111111111111111,0.8191653786707882,647,0.5133333333333333,47.02610629922112,170.3767842716641,39297.321114391474
13b,scope,432,900,0.7211111111111111,0.8670788253477589,647,0.5388888888888889,58.65053303137183,205.19318262736002,33077.27823994891
13b,random,64,900,0.6566666666666666,0.559322033898305,649,0.36777777777777776,67.57011937879513,193.2813278834025,19594.459979827978
13b,random,128,900,0.6922222222222222,0.7072419106317411,649,0.4477777777777778,67.03550327797241,184.02629878785876,24046.959016860197
13b,random,256,900,0.7188888888888889,0.8228043143297381,649,0.5177777777777778,67.7859172928011,182.1917955080668,27498.33703582496
13b,random,432,900,0.7277777777777777,0.9090909090909091,649,0.5555555555555556,67.89939993666741,181.48805830213757,29455.34131178601
