epoch,timestamp,power_w,utilization_gpu_pct,memory_used_mb,memory_total_mb
1785253238.808526,2026/07/28 15:40:38.802, 48.74, 0, 0, 97887
1785253239.008585,2026/07/28 15:40:39.008, 48.74, 0, 0, 97887
1785253239.208776,2026/07/28 15:40:39.208, 48.74, 0, 0, 97887
1785253239.408959,2026/07/28 15:40:39.408, 47.61, 0, 0, 97887
1785253239.609124,2026/07/28 15:40:39.608, 47.61, 0, 0, 97887
1785253239.809278,2026/07/28 15:40:39.809, 47.61, 0, 0, 97887
1785253240.009414,2026/07/28 15:40:40.009, 47.61, 0, 0, 97887
1785253240.209597,2026/07/28 15:40:40.209, 47.61, 0, 0, 97887
1785253240.409755,2026/07/28 15:40:40.409, 48.15, 0, 0, 97887
1785253240.609892,2026/07/28 15:40:40.609, 48.15, 0, 0, 97887
1785253240.810047,2026/07/28 15:40:40.809, 48.15, 0, 0, 97887
1785253241.010206,2026/07/28 15:40:41.010, 48.15, 0, 0, 97887
1785253241.210346,2026/07/28 15:40:41.210, 48.15, 0, 0, 97887
1785253241.410491,2026/07/28 15:40:41.410, 47.86, 0, 0, 97887
1785253241.610599,2026/07/28 15:40:41.610, 47.86, 0, 0, 97887
1785253241.810683,2026/07/28 15:40:41.810, 47.86, 0, 0, 97887
1785253242.010778,2026/07/28 15:40:42.010, 47.86, 0, 0, 97887
1785253242.210878,2026/07/28 15:40:42.210, 47.86, 0, 0, 97887
1785253242.410981,2026/07/28 15:40:42.410, 47.58, 0, 0, 97887
1785253242.611068,2026/07/28 15:40:42.611, 47.58, 0, 0, 97887
1785253242.811157,2026/07/28 15:40:42.811, 47.58, 0, 0, 97887
1785253243.011246,2026/07/28 15:40:43.011, 47.58, 0, 0, 97887
1785253243.211398,2026/07/28 15:40:43.211, 47.58, 0, 0, 97887
1785253243.411483,2026/07/28 15:40:43.411, 47.64, 0, 0, 97887
1785253243.611572,2026/07/28 15:40:43.611, 47.64, 0, 0, 97887
1785253243.811749,2026/07/28 15:40:43.811, 47.64, 0, 0, 97887
1785253244.011875,2026/07/28 15:40:44.011, 47.64, 0, 0, 97887
1785253244.211955,2026/07/28 15:40:44.211, 47.64, 0, 0, 97887
1785253244.412091,2026/07/28 15:40:44.412, 35.54, 0, 0, 97887
1785253244.612155,2026/07/28 15:40:44.612, 35.54, 0, 0, 97887
1785253244.812382,2026/07/28 15:40:44.812, 35.54, 0, 0, 97887
1785253245.012408,2026/07/28 15:40:45.012, 35.54, 0, 0, 97887
1785253245.212555,2026/07/28 15:40:45.212, 35.54, 0, 0, 97887
1785253245.412635,2026/07/28 15:40:45.412, 35.57, 0, 0, 97887
1785253245.612855,2026/07/28 15:40:45.612, 35.57, 0, 0, 97887
1785253245.812927,2026/07/28 15:40:45.812, 35.57, 0, 0, 97887
1785253246.013029,2026/07/28 15:40:46.012, 35.57, 0, 0, 97887
1785253246.213157,2026/07/28 15:40:46.213, 35.57, 0, 0, 97887
1785253246.413224,2026/07/28 15:40:46.413, 35.53, 0, 0, 97887
1785253246.613406,2026/07/28 15:40:46.613, 35.53, 0, 0, 97887
1785253246.813439,2026/07/28 15:40:46.813, 35.53, 0, 0, 97887
1785253247.013577,2026/07/28 15:40:47.013, 35.53, 0, 0, 97887
1785253247.213659,2026/07/28 15:40:47.213, 35.53, 0, 0, 97887
1785253247.413797,2026/07/28 15:40:47.413, 35.56, 0, 0, 97887
1785253247.613886,2026/07/28 15:40:47.613, 35.56, 0, 0, 97887
1785253247.813990,2026/07/28 15:40:47.813, 35.56, 0, 0, 97887
1785253248.014123,2026/07/28 15:40:48.014, 35.56, 0, 0, 97887
1785253248.214189,2026/07/28 15:40:48.214, 35.56, 0, 0, 97887
1785253248.414339,2026/07/28 15:40:48.414, 35.56, 0, 3, 97887
1785253248.614404,2026/07/28 15:40:48.614, 35.56, 0, 3, 97887
1785253248.814556,2026/07/28 15:40:48.814, 35.56, 0, 3, 97887
1785253249.014628,2026/07/28 15:40:49.014, 35.53, 0, 3, 97887
1785253249.214774,2026/07/28 15:40:49.214, 35.53, 0, 3, 97887
1785253249.414870,2026/07/28 15:40:49.414, 35.51, 0, 3, 97887
