accuracy,dimension,energy_reduction_vs_dense,mean_gpu_energy_joule,mean_latency_ms,method,model,n,supported_correct_rate,unsafe_acceptance_rate,value
0.3904761904761905,dataset,-0.01703780593518034,38.43121849029405,105.31068659086789,fastv,7b,210,0.17142857142857143,0.004761904761904762,mmstar
0.75,dataset,-0.008497635811003823,34.54183862457673,94.04640126437396,fastv,7b,72,0.4444444444444444,0.013888888888888888,pope_adversarial
0.8405797101449275,dataset,-0.040081637761326006,32.14993385328763,92.72431014497947,fastv,7b,69,0.5217391304347826,0.0,pope_popular
0.8115942028985508,dataset,-0.009733620231017204,32.181175119358564,91.36323831794932,fastv,7b,69,0.42028985507246375,0.0,pope_random
0.9809523809523809,dataset,-0.050176674783873,38.74553511499223,102.29926143795075,fastv,7b,105,0.9523809523809523,0.02857142857142857,visual_counterfact_color
0.6285714285714286,dataset,-0.06018546531593438,42.03474583018394,113.32567761793533,fastv,7b,105,0.6095238095238096,0.0,visual_counterfact_size
0.675,provenance,-0.03676936094830929,37.27173958013786,101.86282225848926,fastv,7b,360,0.44166666666666665,0.011111111111111112,development
0.6518518518518519,provenance,-0.023617252531293875,37.26117790162122,102.06899446989324,fastv,7b,270,0.5111111111111111,0.003703703703703704,prospective
0.3904761904761905,dataset,0.060570994167691294,35.49858340424583,102.04240781923069,scope,7b,210,0.1761904761904762,0.0,mmstar
0.75,dataset,0.4031659995404774,20.442034762882525,99.67056969455572,scope,7b,72,0.4444444444444444,0.027777777777777776,pope_adversarial
0.8260869565217391,dataset,0.021477535459069497,30.247080004854478,139.17597924570885,scope,7b,69,0.5072463768115942,0.014492753623188406,pope_popular
0.8260869565217391,dataset,0.21591114479824058,24.989660889584083,110.01284762333735,scope,7b,69,0.42028985507246375,0.014492753623188406,pope_random
0.9809523809523809,dataset,0.09270002167739744,33.474199164787926,104.35958136222325,scope,7b,105,0.9809523809523809,0.0,visual_counterfact_color
0.6285714285714286,dataset,0.08372755289149303,36.32881291569982,109.72345816179379,scope,7b,105,0.6095238095238096,0.0,visual_counterfact_size
0.675,provenance,0.11417191052028963,31.845418187956017,107.44692151383788,scope,7b,360,0.4527777777777778,0.0,development
0.6518518518518519,provenance,0.12469665713541678,31.862332816009168,109.61867821870665,scope,7b,270,0.5074074074074074,0.014814814814814815,prospective
0.3904761904761905,dataset,-0.04810804754338549,39.60528226336412,115.75425400494298,random,7b,210,0.17142857142857143,0.01904761904761905,mmstar
0.7638888888888888,dataset,0.050456688015252715,32.5226065832542,91.95041577792533,random,7b,72,0.4444444444444444,0.041666666666666664,pope_adversarial
0.8260869565217391,dataset,-0.05070131700132907,32.4781984555203,96.04464713007421,random,7b,69,0.5072463768115942,0.028985507246376812,pope_popular
0.8115942028985508,dataset,-0.06360499194163127,33.89810720144838,97.97553791271429,random,7b,69,0.4057971014492754,0.014492753623188406,pope_random
0.9714285714285714,dataset,-0.1195415303975671,41.304703027838755,117.72212272363028,random,7b,105,0.9238095238095239,0.05714285714285714,visual_counterfact_color
0.6285714285714286,dataset,-0.09360637355617651,43.35983415600232,125.97242208527557,random,7b,105,0.6095238095238096,0.0,visual_counterfact_size
0.6694444444444444,provenance,-0.0839251167353301,38.96698359061943,111.63503568613022,random,7b,360,0.43333333333333335,0.025,development
0.6555555555555556,provenance,-0.027671455136995426,37.40875685671082,110.05752001084922,random,7b,270,0.5037037037037037,0.025925925925925925,prospective
0.3619047619047619,dataset,0.018913455084063835,77.41000374455679,207.39321016139695,fastv,13b,210,0.1619047619047619,0.06190476190476191,mmstar
0.8888888888888888,dataset,-0.02073619056148379,58.375491063346466,151.3198456110937,fastv,13b,72,0.6388888888888888,0.013888888888888888,pope_adversarial
0.8985507246376812,dataset,-0.014131723526472628,55.59879712849423,146.1054604634241,fastv,13b,69,0.6086956521739131,0.0,pope_popular
0.927536231884058,dataset,-0.06442075604354391,57.82050518790881,155.4025872315253,fastv,13b,69,0.5217391304347826,0.014492753623188406,pope_random
1.0,dataset,-0.05319322775671731,62.00096339786621,161.47743045696103,fastv,13b,105,0.9523809523809523,0.009523809523809525,visual_counterfact_color
0.8380952380952381,dataset,-0.02328525628580591,69.1796056145827,182.12887987583167,fastv,13b,105,0.8095238095238095,0.0,visual_counterfact_size
0.7388888888888889,provenance,-0.027721987824827377,67.75399888938665,179.86385821641306,fastv,13b,360,0.5166666666666667,0.022222222222222223,development
0.7148148148148148,provenance,0.005456335537657453,65.43551166250971,172.51604420695608,fastv,13b,270,0.5814814814814815,0.02962962962962963,prospective
0.37142857142857144,dataset,0.051975426987413975,74.80133748355934,190.11934598141428,scope,13b,210,0.18095238095238095,0.0,mmstar
0.875,dataset,0.22345536267129984,44.410274619277985,155.52031751334047,scope,13b,72,0.6388888888888888,0.027777777777777776,pope_adversarial
0.8985507246376812,dataset,0.08453460454169204,50.18951051373413,182.80094721653174,scope,13b,69,0.5942028985507246,0.014492753623188406,pope_popular
0.9130434782608695,dataset,0.3488658616092277,35.370321945608524,121.29776637775122,scope,13b,69,0.5072463768115942,0.028985507246376812,pope_random
